Term,Annotation Counts
GABA,106
mice,59
MOX,54
Mdr1,32
toxicity,25
neurotoxicity,15
P-gp-deficient,14
P-gp,14
humans,14
mammalian,11
rat,10
Mice,10
dogs,8
Xenopus,8
P-glycoprotein,7
ataxia,6
DMSO,6
onchocerciasis,5
lactones,4
Mdr1a,4
gamma2,4
beta2,3
water,3
Loa loa,3
saline,3
glutamate,3
mouse,3
neurotoxic,3
BCRP,3
tremors,3
lethargy,3
P-gp deficiency,3
GABA receptor,3
lactone,3
tremor,3
MDR1,3
kanamycin,2
Onchocerca volvulus,2
MLs,2
Rat,2
toxicosis,2
KCl,2
avermectin,2
acetonitrile,2
O. volvulus,2
abcb1a,2
coma,2
avermectins,2
NaCl,2
Xenopus laevis,2
abcb1b,2
murine,2
Cooperia oncophora,2
Abcg2,2
streptomycin,2
chick,2
gamma-aminobutyric acid,2
disaccharide,2
Caenorhabditis elegans,2
lymphatic filariasis,1
milbemycin,1
methoxime,1
people,1
depression,1
death,1
Mdr1-deficient,1
Anopheles,1
Dirofilaria immitis infection,1
Haemonchus contortus,1
Moxidectin,1
MOX a,1
4-n-[3H]propyl-4'-ethynylbicycloorthobenzoate,1
Drug toxicity,1
MgCl2,1
mdr1a,1
ethanol,1
poisoning,1
overdoses,1
parasitic disease,1
MRP1,1
penicillin,1
Supelcosil,1
human,1
myoclonus,1
polyneuropathy,1
Neurotoxicity,1
ML toxicity,1
ABCG2,1
patients,1
neurotoxicity of IVM,1
HEPES,1
Ataxia,1
sleepiness,1
benzodiazepines,1
filarial nematode Onchocerca volvulus,1
hyperactivity,1
ABCB1,1
isoflurane,1
CaCl2,1
gastrointestinal nematodes,1
overdose,1
Coma,1
Ala,1
Penicillin,1
GABA(A) receptor,1
methanol,1
trifluoroacetic anhydride,1
river blindness,1
P2X4,1
Lethargy Lethargy,1
voluntary coordination of muscle movements,1
Mouse,1
formaldehyde,1
milbemycins,1
strongyloidiases,1
Bcrp,1
C-23,1
Gly,1
dimethyl sulfoxide,1
Mdr1b,1
mdr-1,1
P-glycoprotein deficiency,1
MRP2,1
deficiency in the blood-brain,1
propylene glycol,1
GABA(A),1
3H,1
acetic acid,1
MDR1-deficient,1
Mammalian,1
P-glycoproteins,1
Loa loa encephalopathy,1
ND96 medium,1
Onchodermatitis,1
C. elegans,1
encephalopathy,1
neurotoxicosis,1
somnolence,1
Tyrosine,1
Tremor,1
Anopheles gambiae,1
1N-methylimidazole,1
filarial nematode Loa loa,1
Ser,1
X. laevis,1
Drosophila,1
Drosophila melanogaster,1
SAEs,1
